Home Team,Home Score,Away Team,Away Score,Match Date
Malaga,1,Barcelona,3, Saturday 21st May 2011.
Hercules,0,Sporting Gijon,0, Saturday 21st May 2011.
Real Madrid,8,Almeria,1, Saturday 21st May 2011.
Deportivo La Coruna,0,Valencia,2, Saturday 21st May 2011.
Espanyol,2,Sevilla,3, Saturday 21st May 2011.
Levante,1,Real Zaragoza,2, Saturday 21st May 2011.
Osasuna,1,Villarreal,0, Saturday 21st May 2011.
Racing Santander,1,Athletic Bilbao,2, Saturday 21st May 2011.
Real Mallorca,3,Atletico Madrid,4, Saturday 21st May 2011.
Real Sociedad,1,Getafe,1, Saturday 21st May 2011.
Almeria,3,Real Mallorca,1, Sunday 15th May 2011.
Athletic Bilbao,1,Malaga,1, Sunday 15th May 2011.
Atletico Madrid,2,Hercules,1, Sunday 15th May 2011.
Barcelona,0,Deportivo La Coruna,0, Sunday 15th May 2011.
Getafe,2,Osasuna,0, Sunday 15th May 2011.
Real Zaragoza,1,Espanyol,0, Sunday 15th May 2011.
Sevilla,3,Real Sociedad,1, Sunday 15th May 2011.
Sporting Gijon,2,Racing Santander,1, Sunday 15th May 2011.
Valencia,0,Levante,0, Sunday 15th May 2011.
Villarreal,1,Real Madrid,3, Sunday 15th May 2011.
Almeria,0,Villarreal,0, Wednesday 11th May 2011.
Levante,1,Barcelona,1, Wednesday 11th May 2011.
Real Sociedad,2,Real Zaragoza,1, Wednesday 11th May 2011.
Espanyol,2,Valencia,2, Wednesday 11th May 2011.
Hercules,2,Real Mallorca,2, Wednesday 11th May 2011.
Osasuna,3,Sevilla,2, Wednesday 11th May 2011.
Deportivo La Coruna,2,Athletic Bilbao,1, Tuesday 10th May 2011.
Malaga,2,Sporting Gijon,0, Tuesday 10th May 2011.
Racing Santander,2,Atletico Madrid,1, Tuesday 10th May 2011.
Real Madrid,4,Getafe,0, Tuesday 10th May 2011.
Real Mallorca,0,Villarreal,0, Sunday 8th May 2011.
Barcelona,2,Espanyol,0, Sunday 8th May 2011.
Real Zaragoza,1,Osasuna,3, Sunday 8th May 2011.
Athletic Bilbao,3,Levante,2, Saturday 7th May 2011.
Getafe,2,Almeria,0, Saturday 7th May 2011.
Hercules,2,Racing Santander,3, Saturday 7th May 2011.
Sporting Gijon,2,Deportivo La Coruna,2, Saturday 7th May 2011.
Valencia,3,Real Sociedad,0, Saturday 7th May 2011.
Atletico Madrid,0,Malaga,3, Saturday 7th May 2011.
Sevilla,2,Real Madrid,6, Saturday 7th May 2011.
Espanyol,2,Athletic Bilbao,1, Monday 2nd May 2011.
Almeria,0,Sevilla,1, Sunday 1st May 2011.
Levante,0,Sporting Gijon,0, Sunday 1st May 2011.
Malaga,3,Hercules,1, Sunday 1st May 2011.
Racing Santander,2,Real Mallorca,0, Sunday 1st May 2011.
Villarreal,2,Getafe,1, Sunday 1st May 2011.
Osasuna,1,Valencia,0, Sunday 1st May 2011.
Real Madrid,2,Real Zaragoza,3, Saturday 30th April 2011.
Real Sociedad,2,Barcelona,1, Saturday 30th April 2011.
Deportivo La Coruna,0,Atletico Madrid,1, Saturday 30th April 2011.
Real Zaragoza,1,Almeria,0, Monday 25th April 2011.
Hercules,1,Deportivo La Coruna,0, Sunday 24th April 2011.
Racing Santander,1,Malaga,2, Sunday 24th April 2011.
Real Mallorca,2,Getafe,0, Sunday 24th April 2011.
Sporting Gijon,1,Espanyol,0, Sunday 24th April 2011.
Atletico Madrid,4,Levante,1, Sunday 24th April 2011.
Sevilla,3,Villarreal,2, Sunday 24th April 2011.
Valencia,3,Real Madrid,6, Saturday 23rd April 2011.
Barcelona,2,Osasuna,0, Saturday 23rd April 2011.
Athletic Bilbao,2,Real Sociedad,1, Saturday 23rd April 2011.
Villarreal,1,Real Zaragoza,0, Monday 18th April 2011.
Deportivo La Coruna,2,Racing Santander,0, Sunday 17th April 2011.
Levante,2,Hercules,1, Sunday 17th April 2011.
Real Sociedad,2,Sporting Gijon,1, Sunday 17th April 2011.
Osasuna,1,Athletic Bilbao,2, Sunday 17th April 2011.
Espanyol,2,Atletico Madrid,2, Sunday 17th April 2011.
Getafe,1,Sevilla,0, Saturday 16th April 2011.
Malaga,3,Real Mallorca,0, Saturday 16th April 2011.
Almeria,0,Valencia,3, Saturday 16th April 2011.
Real Madrid,1,Barcelona,1, Saturday 16th April 2011.
Real Zaragoza,2,Getafe,1, Monday 11th April 2011.
Hercules,0,Espanyol,0, Sunday 10th April 2011.
Malaga,0,Deportivo La Coruna,0, Sunday 10th April 2011.
Racing Santander,1,Levante,1, Sunday 10th April 2011.
Sporting Gijon,1,Osasuna,0, Sunday 10th April 2011.
Atletico Madrid,3,Real Sociedad,0, Sunday 10th April 2011.
Valencia,5,Villarreal,0, Sunday 10th April 2011.
Athletic Bilbao,0,Real Madrid,3, Saturday 9th April 2011.
Barcelona,3,Almeria,1, Saturday 9th April 2011.
Real Mallorca,2,Sevilla,2, Saturday 9th April 2011.
Almeria,1,Athletic Bilbao,3, Monday 4th April 2011.
Deportivo La Coruna,2,Real Mallorca,1, Sunday 3rd April 2011.
Espanyol,1,Racing Santander,2, Sunday 3rd April 2011.
Levante,3,Malaga,1, Sunday 3rd April 2011.
Real Sociedad,1,Hercules,3, Sunday 3rd April 2011.
Sevilla,3,Real Zaragoza,1, Sunday 3rd April 2011.
Osasuna,2,Atletico Madrid,3, Sunday 3rd April 2011.
Real Madrid,0,Sporting Gijon,1, Saturday 2nd April 2011.
Getafe,2,Valencia,4, Saturday 2nd April 2011.
Villarreal,0,Barcelona,1, Saturday 2nd April 2011.
Deportivo La Coruna,0,Levante,1, Sunday 20th March 2011.
Hercules,0,Osasuna,4, Sunday 20th March 2011.
Malaga,2,Espanyol,0, Sunday 20th March 2011.
Racing Santander,2,Real Sociedad,1, Sunday 20th March 2011.
Sporting Gijon,1,Almeria,0, Sunday 20th March 2011.
Athletic Bilbao,0,Villarreal,1, Sunday 20th March 2011.
Valencia,0,Sevilla,1, Sunday 20th March 2011.
Real Mallorca,1,Real Zaragoza,0, Saturday 19th March 2011.
Barcelona,2,Getafe,1, Saturday 19th March 2011.
Atletico Madrid,1,Real Madrid,2, Saturday 19th March 2011.
Getafe,2,Athletic Bilbao,2, Monday 14th March 2011.
Espanyol,2,Deportivo La Coruna,0, Sunday 13th March 2011.
Levante,1,Real Mallorca,1, Sunday 13th March 2011.
Osasuna,3,Racing Santander,1, Sunday 13th March 2011.
Real Sociedad,0,Malaga,2, Sunday 13th March 2011.
Villarreal,1,Sporting Gijon,1, Sunday 13th March 2011.
