Home Team,Home Score,Away Team,Away Score,Match Date
Bologna,0,Bari,4, Sunday 22nd May 2011.
Brescia,2,Fiorentina,2, Sunday 22nd May 2011.
Cagliari,1,Parma,1, Sunday 22nd May 2011.
Genoa,3,Cesena,2, Sunday 22nd May 2011.
Inter Milan,3,Catania,1, Sunday 22nd May 2011.
Palermo,1,Chievo,3, Sunday 22nd May 2011.
Juventus,2,Napoli,2, Sunday 22nd May 2011.
Lecce,2,Lazio,4, Sunday 22nd May 2011.
Roma,3,Sampdoria,1, Sunday 22nd May 2011.
Udinese,0,AC Milan,0, Sunday 22nd May 2011.
Fiorentina,1,Bologna,1, Sunday 15th May 2011.
Bari,0,Lecce,2, Sunday 15th May 2011.
Catania,2,Roma,1, Sunday 15th May 2011.
Cesena,1,Brescia,0, Sunday 15th May 2011.
Chievo,0,Udinese,2, Sunday 15th May 2011.
Parma,1,Juventus,0, Sunday 15th May 2011.
Sampdoria,1,Palermo,2, Sunday 15th May 2011.
Napoli,1,Inter Milan,1, Sunday 15th May 2011.
Lazio,4,Genoa,2, Saturday 14th May 2011.
AC Milan,4,Cagliari,1, Saturday 14th May 2011.
Juventus,2,Chievo,2, Monday 9th May 2011.
Bologna,0,Parma,0, Sunday 8th May 2011.
Brescia,1,Catania,2, Sunday 8th May 2011.
Cagliari,0,Cesena,2, Sunday 8th May 2011.
Inter Milan,3,Fiorentina,1, Sunday 8th May 2011.
Lecce,2,Napoli,1, Sunday 8th May 2011.
Udinese,2,Lazio,1, Sunday 8th May 2011.
Genoa,2,Sampdoria,1, Sunday 8th May 2011.
Palermo,2,Bari,1, Saturday 7th May 2011.
Roma,0,AC Milan,0, Saturday 7th May 2011.
Lazio,0,Juventus,1, Monday 2nd May 2011.
AC Milan,1,Bologna,0, Sunday 1st May 2011.
Catania,2,Cagliari,0, Sunday 1st May 2011.
Chievo,1,Lecce,0, Sunday 1st May 2011.
Fiorentina,5,Udinese,2, Sunday 1st May 2011.
Parma,3,Palermo,1, Sunday 1st May 2011.
Sampdoria,3,Brescia,3, Sunday 1st May 2011.
Bari,2,Roma,3, Sunday 1st May 2011.
Cesena,1,Inter Milan,2, Saturday 30th April 2011.
Napoli,1,Genoa,0, Saturday 30th April 2011.
Roma,1,Chievo,0, Saturday 23rd April 2011.
Bari,0,Sampdoria,1, Saturday 23rd April 2011.
Bologna,0,Cesena,2, Saturday 23rd April 2011.
Cagliari,1,Fiorentina,2, Saturday 23rd April 2011.
Genoa,4,Lecce,2, Saturday 23rd April 2011.
Inter Milan,2,Lazio,1, Saturday 23rd April 2011.
Palermo,2,Napoli,1, Saturday 23rd April 2011.
Udinese,0,Parma,2, Saturday 23rd April 2011.
Brescia,0,AC Milan,1, Saturday 23rd April 2011.
Juventus,2,Catania,2, Saturday 23rd April 2011.
Catania,1,Lazio,4, Sunday 17th April 2011.
Cesena,1,Bari,0, Sunday 17th April 2011.
Chievo,2,Bologna,0, Sunday 17th April 2011.
Fiorentina,0,Juventus,0, Sunday 17th April 2011.
Genoa,3,Brescia,0, Sunday 17th April 2011.
Lecce,3,Cagliari,3, Sunday 17th April 2011.
Napoli,1,Udinese,2, Sunday 17th April 2011.
Roma,2,Palermo,3, Saturday 16th April 2011.
AC Milan,3,Sampdoria,0, Saturday 16th April 2011.
Parma,2,Inter Milan,0, Saturday 16th April 2011.
Juventus,3,Genoa,2, Sunday 10th April 2011.
Bari,1,Catania,1, Sunday 10th April 2011.
Bologna,0,Napoli,2, Sunday 10th April 2011.
Cagliari,1,Brescia,1, Sunday 10th April 2011.
Lazio,2,Parma,0, Sunday 10th April 2011.
Palermo,2,Cesena,2, Sunday 10th April 2011.
Sampdoria,1,Lecce,2, Sunday 10th April 2011.
Fiorentina,1,AC Milan,2, Sunday 10th April 2011.
Inter Milan,2,Chievo,0, Saturday 9th April 2011.
Udinese,1,Roma,2, Saturday 9th April 2011.
Napoli,4,Lazio,3, Sunday 3rd April 2011.
Catania,4,Palermo,0, Sunday 3rd April 2011.
Cesena,2,Fiorentina,2, Sunday 3rd April 2011.
Chievo,0,Sampdoria,0, Sunday 3rd April 2011.
Genoa,0,Cagliari,1, Sunday 3rd April 2011.
Lecce,2,Udinese,0, Sunday 3rd April 2011.
Parma,1,Bari,2, Sunday 3rd April 2011.
Roma,0,Juventus,2, Sunday 3rd April 2011.
Brescia,3,Bologna,1, Saturday 2nd April 2011.
AC Milan,3,Inter Milan,0, Saturday 2nd April 2011.
Fiorentina,2,Roma,2, Sunday 20th March 2011.
Bari,1,Chievo,2, Sunday 20th March 2011.
Bologna,1,Genoa,1, Sunday 20th March 2011.
Inter Milan,1,Lecce,0, Sunday 20th March 2011.
Juventus,2,Brescia,1, Sunday 20th March 2011.
Sampdoria,0,Parma,1, Sunday 20th March 2011.
Udinese,2,Catania,0, Sunday 20th March 2011.
Napoli,2,Cagliari,1, Sunday 20th March 2011.
Lazio,1,Cesena,0, Saturday 19th March 2011.
Palermo,1,AC Milan,0, Saturday 19th March 2011.
AC Milan,1,Bari,1, Sunday 13th March 2011.
Cagliari,0,Udinese,4, Sunday 13th March 2011.
Catania,1,Sampdoria,0, Sunday 13th March 2011.
Chievo,0,Fiorentina,1, Sunday 13th March 2011.
Genoa,1,Palermo,0, Sunday 13th March 2011.
Lecce,0,Bologna,1, Sunday 13th March 2011.
Roma,2,Lazio,0, Sunday 13th March 2011.
Parma,1,Napoli,3, Sunday 13th March 2011.
Cesena,2,Juventus,2, Saturday 12th March 2011.
Brescia,1,Inter Milan,1, Friday 11th March 2011.
Sampdoria,2,Cesena,3, Sunday 6th March 2011.
Bologna,2,Cagliari,2, Sunday 6th March 2011.
Chievo,0,Parma,0, Sunday 6th March 2011.
Fiorentina,3,Catania,0, Sunday 6th March 2011.
Inter Milan,5,Genoa,2, Sunday 6th March 2011.
Napoli,0,Brescia,0, Sunday 6th March 2011.
Udinese,1,Bari,0, Sunday 6th March 2011.
Lazio,2,Palermo,0, Sunday 6th March 2011.
Juventus,0,AC Milan,1, Saturday 5th March 2011.
Lecce,1,Roma,2, Friday 4th March 2011.
AC Milan,3,Napoli,0, Monday 28th February 2011.
Catania,2,Genoa,1, Sunday 27th February 2011.
Bari,1,Fiorentina,1, Sunday 27th February 2011.
Brescia,2,Lecce,2, Sunday 27th February 2011.
Cagliari,1,Lazio,0, Sunday 27th February 2011.
Cesena,1,Chievo,0, Sunday 27th February 2011.
Palermo,0,Udinese,7, Sunday 27th February 2011.
Roma,2,Parma,2, Sunday 27th February 2011.
Sampdoria,0,Inter Milan,2, Sunday 27th February 2011.
Juventus,0,Bologna,2, Saturday 26th February 2011.
Bologna,0,Roma,1, Wednesday 23rd February 2011.
Lecce,2,Juventus,0, Sunday 20th February 2011.
Chievo,1,AC Milan,2, Sunday 20th February 2011.
Fiorentina,0,Sampdoria,0, Sunday 20th February 2011.
Genoa,4,Roma,3, Sunday 20th February 2011.
Lazio,1,Bari,0, Sunday 20th February 2011.
Parma,2,Cesena,2, Sunday 20th February 2011.
Udinese,0,Brescia,0, Sunday 20th February 2011.
Napoli,1,Catania,0, Sunday 20th February 2011.
Bologna,1,Palermo,0, Saturday 19th February 2011.
Inter Milan,1,Cagliari,0, Saturday 19th February 2011.
Fiorentina,1,Inter Milan,2, Wednesday 16th February 2011.
Sampdoria,0,Genoa,1, Wednesday 16th February 2011.
Palermo,2,Fiorentina,4, Sunday 13th February 2011.
Bari,0,Genoa,0, Sunday 13th February 2011.
Brescia,0,Lazio,2, Sunday 13th February 2011.
Cagliari,4,Chievo,1, Sunday 13th February 2011.
Catania,3,Lecce,2, Sunday 13th February 2011.
Cesena,0,Udinese,3, Sunday 13th February 2011.
Sampdoria,3,Bologna,1, Sunday 13th February 2011.
Juventus,1,Inter Milan,0, Sunday 13th February 2011.
AC Milan,4,Parma,0, Saturday 12th February 2011.
Roma,0,Napoli,2,https://www.skysports.com/football/roma-vs-napoli/231180
Bologna,1,Catania,0,https://www.skysports.com/football/bologna-vs-catania/225599
Brescia,2,Bari,0, Sunday 6th February 2011.
Genoa,1,AC Milan,1, Sunday 6th February 2011.
Lazio,1,Chievo,1, Sunday 6th February 2011.
Lecce,2,Palermo,4, Sunday 6th February 2011.
Napoli,2,Cesena,0, Sunday 6th February 2011.
Parma,1,Fiorentina,1, Sunday 6th February 2011.
Inter Milan,5,Roma,3, Sunday 6th February 2011.
Udinese,2,Sampdoria,0, Saturday 5th February 2011.
Cagliari,1,Juventus,3, Saturday 5th February 2011.
Bari,0,Inter Milan,3, Thursday 3rd February 2011.
Cesena,1,Catania,1, Wednesday 2nd February 2011.
Chievo,2,Napoli,0, Wednesday 2nd February 2011.
Fiorentina,1,Genoa,0, Wednesday 2nd February 2011.
Palermo,2,Juventus,1, Wednesday 2nd February 2011.
Parma,0,Lecce,1, Wednesday 2nd February 2011.
Roma,1,Brescia,1, Wednesday 2nd February 2011.
Sampdoria,0,Cagliari,1, Wednesday 2nd February 2011.
Udinese,1,Bologna,1, Wednesday 2nd February 2011.
AC Milan,0,Lazio,0, Tuesday 1st February 2011.
Brescia,0,Chievo,3, Sunday 30th January 2011.
Cagliari,2,Bari,1, Sunday 30th January 2011.
Genoa,3,Parma,1, Sunday 30th January 2011.
Inter Milan,3,Palermo,2, Sunday 30th January 2011.
Lecce,1,Cesena,1, Sunday 30th January 2011.
Napoli,4,Sampdoria,0, Sunday 30th January 2011.
Juventus,1,Udinese,2, Sunday 30th January 2011.
Lazio,2,Fiorentina,0, Saturday 29th January 2011.
Catania,0,AC Milan,2, Saturday 29th January 2011.
Udinese,3,Inter Milan,1, Sunday 23rd January 2011.
Bari,0,Napoli,2, Sunday 23rd January 2011.
Bologna,3,Lazio,1, Sunday 23rd January 2011.
Chievo,0,Genoa,0, Sunday 23rd January 2011.
Fiorentina,1,Lecce,1, Sunday 23rd January 2011.
Sampdoria,0,Juventus,0, Sunday 23rd January 2011.
AC Milan,2,Cesena,0, Sunday 23rd January 2011.
