Home Team,Home Score,Away Team,Away Score,Match Date
Bradford City,3,Northampton Town,0, Saturday 18th May 2013.
Burton Albion,1,Bradford City,3, Sunday 5th May 2013.
Cheltenham Town,0,Northampton Town,1, Sunday 5th May 2013.
Bradford City,2,Burton Albion,3, Thursday 2nd May 2013.
Northampton Town,1,Cheltenham Town,0, Thursday 2nd May 2013.
AFC Wimbledon,2,Fleetwood Town,1, Saturday 27th April 2013.
Accrington Stanley,0,Oxford United,3, Saturday 27th April 2013.
Burton Albion,3,Gillingham,2, Saturday 27th April 2013.
Cheltenham Town,0,Bradford City,0, Saturday 27th April 2013.
Chesterfield,4,Exeter City,0, Saturday 27th April 2013.
Dagenham & Redbridge,0,York City,1, Saturday 27th April 2013.
Northampton Town,2,Barnet,0, Saturday 27th April 2013.
Rochdale,1,Plymouth Argyle,0, Saturday 27th April 2013.
Rotherham United,2,Aldershot Town,0, Saturday 27th April 2013.
Southend United,0,Morecambe,1, Saturday 27th April 2013.
Torquay United,3,Bristol Rovers,3, Saturday 27th April 2013.
Wycombe Wanderers,1,Port Vale,1, Saturday 27th April 2013.
Aldershot Town,1,Dagenham & Redbridge,0, Saturday 20th April 2013.
Barnet,1,Wycombe Wanderers,0, Saturday 20th April 2013.
Bradford City,1,Burton Albion,0, Saturday 20th April 2013.
Bristol Rovers,0,Accrington Stanley,1, Saturday 20th April 2013.
Exeter City,0,Cheltenham Town,1, Saturday 20th April 2013.
Fleetwood Town,1,Chesterfield,3, Saturday 20th April 2013.
Gillingham,2,AFC Wimbledon,2, Saturday 20th April 2013.
Morecambe,0,Torquay United,2, Saturday 20th April 2013.
Oxford United,3,Rochdale,0, Saturday 20th April 2013.
Plymouth Argyle,0,Rotherham United,1, Saturday 20th April 2013.
Port Vale,2,Northampton Town,2, Saturday 20th April 2013.
York City,2,Southend United,1, Saturday 20th April 2013.
Aldershot Town,0,Southend United,2, Tuesday 16th April 2013.
Bradford City,0,Rotherham United,2, Tuesday 16th April 2013.
Chesterfield,1,Plymouth Argyle,2, Tuesday 16th April 2013.
Torquay United,3,Barnet,2, Tuesday 16th April 2013.
Wycombe Wanderers,0,Northampton Town,0, Tuesday 16th April 2013.
AFC Wimbledon,2,Exeter City,2, Saturday 13th April 2013.
Burton Albion,1,Plymouth Argyle,0, Saturday 13th April 2013.
Cheltenham Town,1,Gillingham,0, Saturday 13th April 2013.
Chesterfield,2,Bradford City,2, Saturday 13th April 2013.
Dagenham & Redbridge,0,Oxford United,1, Saturday 13th April 2013.
Northampton Town,0,York City,2, Saturday 13th April 2013.
Rochdale,2,Port Vale,2, Saturday 13th April 2013.
Rotherham United,2,Fleetwood Town,1, Saturday 13th April 2013.
Southend United,0,Bristol Rovers,0, Saturday 13th April 2013.
Wycombe Wanderers,2,Aldershot Town,1, Saturday 13th April 2013.
Accrington Stanley,2,Morecambe,0, Friday 12th April 2013.
Rochdale,4,Southend United,2, Wednesday 10th April 2013.
Bradford City,4,Bristol Rovers,1, Tuesday 9th April 2013.
Burton Albion,2,Wycombe Wanderers,0, Tuesday 9th April 2013.
Port Vale,1,Aldershot Town,1, Tuesday 9th April 2013.
Rotherham United,4,Exeter City,1, Tuesday 9th April 2013.
Barnet,0,Chesterfield,2, Saturday 6th April 2013.
Bradford City,1,Northampton Town,0, Saturday 6th April 2013.
Bristol Rovers,1,AFC Wimbledon,0, Saturday 6th April 2013.
Exeter City,0,Dagenham & Redbridge,1, Saturday 6th April 2013.
Fleetwood Town,0,Rochdale,3, Saturday 6th April 2013.
Gillingham,1,Torquay United,0, Saturday 6th April 2013.
Morecambe,2,Rotherham United,1, Saturday 6th April 2013.
Oxford United,0,Wycombe Wanderers,1, Saturday 6th April 2013.
Plymouth Argyle,2,Cheltenham Town,0, Saturday 6th April 2013.
York City,1,Accrington Stanley,1, Saturday 6th April 2013.
Port Vale,7,Burton Albion,1, Friday 5th April 2013.
Southend United,1,Fleetwood Town,1, Monday 1st April 2013.
AFC Wimbledon,0,Barnet,1, Monday 1st April 2013.
Accrington Stanley,3,Burton Albion,3, Monday 1st April 2013.
Aldershot Town,3,Oxford United,2, Monday 1st April 2013.
Cheltenham Town,1,Northampton Town,0, Monday 1st April 2013.
Chesterfield,2,Port Vale,2, Monday 1st April 2013.
Dagenham & Redbridge,2,Bristol Rovers,4, Monday 1st April 2013.
Exeter City,1,Rochdale,2, Monday 1st April 2013.
Gillingham,1,Rotherham United,0, Monday 1st April 2013.
Morecambe,0,Wycombe Wanderers,1, Monday 1st April 2013.
Torquay United,1,Bradford City,3, Monday 1st April 2013.
York City,2,Plymouth Argyle,0, Monday 1st April 2013.
Plymouth Argyle,1,Exeter City,0, Saturday 30th March 2013.
Bristol Rovers,0,York City,0, Saturday 30th March 2013.
Burton Albion,0,Chesterfield,1, Saturday 30th March 2013.
Fleetwood Town,2,Gillingham,2, Saturday 30th March 2013.
Barnet,0,Dagenham & Redbridge,0, Friday 29th March 2013.
Bradford City,2,Southend United,2, Friday 29th March 2013.
Oxford United,1,Morecambe,1, Friday 29th March 2013.
Port Vale,3,Cheltenham Town,2, Friday 29th March 2013.
Rochdale,1,Aldershot Town,1, Friday 29th March 2013.
Rotherham United,1,AFC Wimbledon,0, Friday 29th March 2013.
Wycombe Wanderers,0,Accrington Stanley,1, Friday 29th March 2013.
Northampton Town,1,Torquay United,0, Friday 29th March 2013.
AFC Wimbledon,2,Morecambe,0, Saturday 23rd March 2013.
Barnet,0,Cheltenham Town,0, Saturday 23rd March 2013.
Fleetwood Town,2,Dagenham & Redbridge,1, Saturday 23rd March 2013.
Gillingham,1,Accrington Stanley,0, Saturday 23rd March 2013.
Northampton Town,1,Oxford United,0, Saturday 23rd March 2013.
Torquay United,2,York City,1, Saturday 23rd March 2013.
Accrington Stanley,4,AFC Wimbledon,0, Tuesday 19th March 2013.
Bradford City,1,Wycombe Wanderers,0, Tuesday 19th March 2013.
Rochdale,1,Gillingham,1, Tuesday 19th March 2013.
Southend United,0,Plymouth Argyle,2, Tuesday 19th March 2013.
Torquay United,2,Chesterfield,1, Tuesday 19th March 2013.
Barnet,2,Fleetwood Town,0, Tuesday 19th March 2013.
Accrington Stanley,3,Barnet,2, Saturday 16th March 2013.
Aldershot Town,0,AFC Wimbledon,1, Saturday 16th March 2013.
Bristol Rovers,2,Rochdale,1, Saturday 16th March 2013.
Cheltenham Town,3,Rotherham United,0, Saturday 16th March 2013.
Dagenham & Redbridge,1,Burton Albion,1, Saturday 16th March 2013.
Exeter City,4,Bradford City,1, Saturday 16th March 2013.
Morecambe,1,Gillingham,1, Saturday 16th March 2013.
Oxford United,0,Chesterfield,1, Saturday 16th March 2013.
Plymouth Argyle,2,Fleetwood Town,1, Saturday 16th March 2013.
Southend United,1,Torquay United,1, Saturday 16th March 2013.
York City,0,Port Vale,2, Saturday 16th March 2013.
Accrington Stanley,0,Fleetwood Town,3, Tuesday 12th March 2013.
Aldershot Town,1,Burton Albion,2, Tuesday 12th March 2013.
Bristol Rovers,2,Port Vale,0, Tuesday 12th March 2013.
Dagenham & Redbridge,2,Torquay United,2, Tuesday 12th March 2013.
Exeter City,0,Gillingham,0, Tuesday 12th March 2013.
Morecambe,1,Northampton Town,1, Tuesday 12th March 2013.
Oxford United,1,Barnet,0, Tuesday 12th March 2013.
Plymouth Argyle,0,Bradford City,0, Tuesday 12th March 2013.
Southend United,1,AFC Wimbledon,3, Tuesday 12th March 2013.
Wycombe Wanderers,2,Rotherham United,2, Tuesday 12th March 2013.
York City,0,Rochdale,0, Tuesday 12th March 2013.
AFC Wimbledon,3,York City,2, Saturday 9th March 2013.
Barnet,4,Morecambe,1, Saturday 9th March 2013.
Bradford City,1,Aldershot Town,1, Saturday 9th March 2013.
Burton Albion,3,Cheltenham Town,1, Saturday 9th March 2013.
Chesterfield,2,Bristol Rovers,0, Saturday 9th March 2013.
Fleetwood Town,0,Exeter City,0, Saturday 9th March 2013.
Gillingham,2,Plymouth Argyle,1, Saturday 9th March 2013.
Northampton Town,2,Accrington Stanley,0, Saturday 9th March 2013.
Port Vale,1,Southend United,2, Saturday 9th March 2013.
Rochdale,4,Wycombe Wanderers,1, Saturday 9th March 2013.
Rotherham United,1,Dagenham & Redbridge,2, Saturday 9th March 2013.
Torquay United,1,Oxford United,3, Saturday 9th March 2013.
Bristol Rovers,2,Exeter City,0, Wednesday 6th March 2013.
Cheltenham Town,1,Chesterfield,0, Tuesday 5th March 2013.
Oxford United,0,Rotherham United,4, Tuesday 5th March 2013.
Port Vale,0,Bradford City,0, Tuesday 5th March 2013.
Accrington Stanley,0,Torquay United,0, Saturday 2nd March 2013.
Aldershot Town,1,Gillingham,1, Saturday 2nd March 2013.
Bristol Rovers,3,Burton Albion,0, Saturday 2nd March 2013.
