Home Team,Home Score,Away Team,Away Score,Match Date
Angers,2,Montpellier,0, Saturday 20th May 2017.
Guingamp,1,Metz,0, Saturday 20th May 2017.
Lille,3,Nantes,0, Saturday 20th May 2017.
Lorient,1,Bordeaux,1, Saturday 20th May 2017.
Lyon,3,Nice,3, Saturday 20th May 2017.
Marseille,1,Bastia,0, Saturday 20th May 2017.
Nancy,3,St Etienne,1, Saturday 20th May 2017.
Paris Saint-Germain,1,Caen,1, Saturday 20th May 2017.
Rennes,2,Monaco,3, Saturday 20th May 2017.
Toulouse,0,Dijon,0, Saturday 20th May 2017.
Monaco,2,St Etienne,0, Wednesday 17th May 2017.
Bastia,2,Lorient,0, Sunday 14th May 2017.
Bordeaux,1,Marseille,1, Sunday 14th May 2017.
Caen,0,Rennes,1, Sunday 14th May 2017.
Dijon,2,Nancy,0, Sunday 14th May 2017.
Metz,1,Toulouse,1, Sunday 14th May 2017.
Monaco,4,Lille,0, Sunday 14th May 2017.
Montpellier,1,Lyon,3, Sunday 14th May 2017.
Nantes,4,Guingamp,1, Sunday 14th May 2017.
Nice,0,Angers,2, Sunday 14th May 2017.
St Etienne,0,Paris Saint-Germain,5, Sunday 14th May 2017.
Rennes,1,Montpellier,0, Sunday 7th May 2017.
Lyon,3,Nantes,2, Sunday 7th May 2017.
Marseille,2,Nice,1, Sunday 7th May 2017.
Paris Saint-Germain,5,Bastia,0, Saturday 6th May 2017.
Guingamp,4,Dijon,0, Saturday 6th May 2017.
Lille,0,Metz,2, Saturday 6th May 2017.
Lorient,1,Angers,1, Saturday 6th May 2017.
Nancy,0,Monaco,3, Saturday 6th May 2017.
Toulouse,0,Caen,1, Saturday 6th May 2017.
St Etienne,2,Bordeaux,2, Friday 5th May 2017.
Caen,1,Marseille,5, Sunday 30th April 2017.
Dijon,0,Bordeaux,0, Sunday 30th April 2017.
Nice,3,Paris Saint-Germain,1, Sunday 30th April 2017.
Monaco,3,Toulouse,1, Saturday 29th April 2017.
Bastia,1,Rennes,0, Saturday 29th April 2017.
Guingamp,0,St Etienne,2, Saturday 29th April 2017.
Metz,2,Nancy,1, Saturday 29th April 2017.
Montpellier,0,Lille,3, Saturday 29th April 2017.
Nantes,1,Lorient,0, Saturday 29th April 2017.
Angers,1,Lyon,2, Friday 28th April 2017.
Toulouse,1,Nice,1, Sunday 23rd April 2017.
St Etienne,1,Rennes,1, Sunday 23rd April 2017.
Lyon,1,Monaco,2, Sunday 23rd April 2017.
Paris Saint-Germain,2,Montpellier,0, Saturday 22nd April 2017.
Bordeaux,2,Bastia,0, Saturday 22nd April 2017.
Caen,0,Nantes,2, Saturday 22nd April 2017.
Dijon,3,Angers,2, Saturday 22nd April 2017.
Lille,3,Guingamp,0, Saturday 22nd April 2017.
Lorient,5,Metz,1, Saturday 22nd April 2017.
Nancy,0,Marseille,0, Friday 21st April 2017.
Metz,2,Paris Saint-Germain,3, Tuesday 18th April 2017.
Nantes,0,Bordeaux,1, Sunday 16th April 2017.
Marseille,4,St Etienne,0, Sunday 16th April 2017.
Nice,3,Nancy,1, Saturday 15th April 2017.
Guingamp,2,Toulouse,1, Saturday 15th April 2017.
Metz,2,Caen,2, Saturday 15th April 2017.
Montpellier,2,Lorient,0, Saturday 15th April 2017.
Rennes,2,Lille,0, Saturday 15th April 2017.
Monaco,2,Dijon,1, Saturday 15th April 2017.
Angers,0,Paris Saint-Germain,2, Friday 14th April 2017.
Toulouse,0,Marseille,0, Sunday 9th April 2017.
St Etienne,1,Nantes,1, Sunday 9th April 2017.
Paris Saint-Germain,4,Guingamp,0, Sunday 9th April 2017.
Angers,0,Monaco,1, Saturday 8th April 2017.
Bordeaux,3,Metz,0, Saturday 8th April 2017.
Caen,0,Montpellier,2, Saturday 8th April 2017.
Dijon,1,Bastia,2, Saturday 8th April 2017.
Lyon,1,Lorient,4, Saturday 8th April 2017.
Nancy,3,Rennes,0, Saturday 8th April 2017.
Lille,1,Nice,2, Friday 7th April 2017.
Metz,0,Lyon,3, Wednesday 5th April 2017.
Rennes,1,Lyon,1, Sunday 2nd April 2017.
Lorient,1,Caen,0, Sunday 2nd April 2017.
Montpellier,0,Toulouse,1, Sunday 2nd April 2017.
Nantes,2,Angers,1, Sunday 2nd April 2017.
Nice,2,Bordeaux,1, Sunday 2nd April 2017.
Marseille,1,Dijon,1, Saturday 1st April 2017.
Bastia,0,Lille,1, Saturday 1st April 2017.
Guingamp,1,Nancy,0, Friday 31st March 2017.
Caen,0,Monaco,3, Sunday 19th March 2017.
Dijon,0,St Etienne,1, Sunday 19th March 2017.
Paris Saint-Germain,2,Lyon,1, Sunday 19th March 2017.
Nantes,1,Nice,1, Saturday 18th March 2017.
Angers,3,Guingamp,0, Saturday 18th March 2017.
Bordeaux,5,Montpellier,1, Saturday 18th March 2017.
Nancy,2,Lorient,3, Saturday 18th March 2017.
Toulouse,0,Rennes,0, Saturday 18th March 2017.
Metz,1,Bastia,0, Friday 17th March 2017.
Lille,0,Marseille,0, Friday 17th March 2017.
St Etienne,2,Metz,2, Sunday 12th March 2017.
Lyon,4,Toulouse,0, Sunday 12th March 2017.
Lorient,1,Paris Saint-Germain,2, Sunday 12th March 2017.
Monaco,2,Bordeaux,1, Saturday 11th March 2017.
Guingamp,5,Bastia,0, Saturday 11th March 2017.
Montpellier,2,Nantes,3, Saturday 11th March 2017.
Nancy,1,Lille,2, Saturday 11th March 2017.
Rennes,1,Dijon,1, Saturday 11th March 2017.
Nice,2,Caen,2, Friday 10th March 2017.
Marseille,3,Angers,0, Friday 10th March 2017.
Lorient,1,Marseille,4, Sunday 5th March 2017.
Toulouse,1,Lille,1, Sunday 5th March 2017.
Monaco,4,Nantes,0, Sunday 5th March 2017.
Paris Saint-Germain,1,Nancy,0, Saturday 4th March 2017.
Bastia,0,St Etienne,0, Saturday 4th March 2017.
Caen,2,Angers,3, Saturday 4th March 2017.
Dijon,0,Nice,1, Saturday 4th March 2017.
Metz,1,Rennes,1, Saturday 4th March 2017.
Montpellier,1,Guingamp,1, Saturday 4th March 2017.
Bordeaux,1,Lyon,1, Friday 3rd March 2017.
Bastia,2,Nantes,2, Wednesday 1st March 2017.
St Etienne,0,Caen,1, Sunday 26th February 2017.
Lyon,5,Metz,0, Sunday 26th February 2017.
Marseille,1,Paris Saint-Germain,5, Sunday 26th February 2017.
Guingamp,1,Monaco,2, Saturday 25th February 2017.
Angers,3,Bastia,0, Saturday 25th February 2017.
Lille,2,Bordeaux,3, Saturday 25th February 2017.
Nancy,0,Toulouse,0, Saturday 25th February 2017.
Rennes,1,Lorient,0, Saturday 25th February 2017.
Nantes,3,Dijon,1, Friday 24th February 2017.
Nice,2,Montpellier,1, Friday 24th February 2017.
Caen,1,Nancy,0, Tuesday 21st February 2017.
Bordeaux,3,Guingamp,0, Sunday 19th February 2017.
Lyon,4,Dijon,2, Sunday 19th February 2017.
Montpellier,2,St Etienne,1, Sunday 19th February 2017.
Paris Saint-Germain,0,Toulouse,0, Sunday 19th February 2017.
Marseille,2,Rennes,0, Saturday 18th February 2017.
Angers,1,Nancy,0, Saturday 18th February 2017.
Caen,0,Lille,1, Saturday 18th February 2017.
Lorient,0,Nice,1, Saturday 18th February 2017.
Metz,1,Nantes,1, Saturday 18th February 2017.
Bastia,1,Monaco,1, Friday 17th February 2017.
Rennes,2,Nice,2, Sunday 12th February 2017.
St Etienne,4,Lorient,0, Sunday 12th February 2017.
Nantes,3,Marseille,2, Sunday 12th February 2017.
Guingamp,2,Lyon,1, Saturday 11th February 2017.
Dijon,2,Caen,0, Saturday 11th February 2017.
Lille,1,Angers,2, Saturday 11th February 2017.
Monaco,5,Metz,0, Saturday 11th February 2017.
Nancy,0,Montpellier,3, Saturday 11th February 2017.
Toulouse,4,Bastia,1, Saturday 11th February 2017.
Bordeaux,0,Paris Saint-Germain,3, Friday 10th February 2017.
Angers,0,Rennes,0, Wednesday 8th February 2017.
Lorient,1,Toulouse,1, Wednesday 8th February 2017.
Lyon,4,Nancy,0, Wednesday 8th February 2017.
Metz,2,Dijon,1,https://www.skysports.com/football/metz-vs-dijon/355410
Nice,1,St Etienne,0,https://www.skysports.com/football/nice-vs-st-etienne/355412
Marseille,2,Guingamp,0, Wednesday 8th February 2017.
Caen,0,Bordeaux,4, Tuesday 7th February 2017.
Montpellier,1,Monaco,2, Tuesday 7th February 2017.
Paris Saint-Germain,2,Lille,1, Tuesday 7th February 2017.
Toulouse,4,Angers,0, Sunday 5th February 2017.
Nantes,0,Nancy,2, Sunday 5th February 2017.
St Etienne,2,Lyon,0, Sunday 5th February 2017.
Monaco,3,Nice,0, Saturday 4th February 2017.
Bordeaux,1,Rennes,1, Saturday 4th February 2017.
Dijon,1,Paris Saint-Germain,3, Saturday 4th February 2017.
Guingamp,0,Caen,1, Saturday 4th February 2017.
Lille,0,Lorient,1, Saturday 4th February 2017.
Montpellier,2,Bastia,1, Saturday 4th February 2017.
Metz,1,Marseille,0, Friday 3rd February 2017.
Nice,3,Guingamp,1, Sunday 29th January 2017.
Toulouse,0,St Etienne,3, Sunday 29th January 2017.
Paris Saint-Germain,1,Monaco,1, Sunday 29th January 2017.
Lyon,1,Lille,2, Saturday 28th January 2017.
Angers,2,Metz,1, Saturday 28th January 2017.
Bastia,1,Caen,1, Saturday 28th January 2017.
Lorient,2,Dijon,3, Saturday 28th January 2017.
Nancy,0,Bordeaux,2, Saturday 28th January 2017.
Rennes,1,Nantes,1, Saturday 28th January 2017.
Marseille,5,Montpellier,1, Friday 27th January 2017.
Monaco,4,Lorient,0, Sunday 22nd January 2017.
St Etienne,2,Angers,1, Sunday 22nd January 2017.
Lyon,3,Marseille,1, Sunday 22nd January 2017.
Nantes,0,Paris Saint-Germain,2, Saturday 21st January 2017.
Bordeaux,1,Toulouse,0, Saturday 21st January 2017.
Dijon,0,Lille,0, Saturday 21st January 2017.
Guingamp,1,Rennes,1, Saturday 21st January 2017.
Metz,2,Montpellier,0, Saturday 21st January 2017.
Bastia,1,Nice,1, Friday 20th January 2017.
Nantes,1,Caen,0,https://www.skysports.com/football/nantes-vs-caen/355340
Nice,0,Metz,0, Sunday 15th January 2017.
Caen,3,Lyon,2, Sunday 15th January 2017.
Marseille,1,Monaco,4, Sunday 15th January 2017.
Rennes,0,Paris Saint-Germain,1, Saturday 14th January 2017.
Angers,1,Bordeaux,1, Saturday 14th January 2017.
Lorient,3,Guingamp,1, Saturday 14th January 2017.
Montpellier,1,Dijon,1, Saturday 14th January 2017.
Nancy,1,Bastia,0, Saturday 14th January 2017.
Toulouse,0,Nantes,1, Saturday 14th January 2017.
Lille,1,St Etienne,1, Friday 13th January 2017.
Bastia,1,Marseille,2, Wednesday 21st December 2016.
Bordeaux,0,Nice,0, Wednesday 21st December 2016.
Dijon,2,Toulouse,0, Wednesday 21st December 2016.
Lille,1,Rennes,1, Wednesday 21st December 2016.
Lyon,2,Angers,0, Wednesday 21st December 2016.
Metz,2,Guingamp,2, Wednesday 21st December 2016.
Monaco,2,Caen,1, Wednesday 21st December 2016.
Nantes,1,Montpellier,0, Wednesday 21st December 2016.
Paris Saint-Germain,5,Lorient,0, Wednesday 21st December 2016.
St Etienne,0,Nancy,0, Wednesday 21st December 2016.
Caen,3,Metz,0, Sunday 18th December 2016.
Nice,2,Dijon,1, Sunday 18th December 2016.
Marseille,2,Lille,0, Sunday 18th December 2016.
Monaco,1,Lyon,3, Sunday 18th December 2016.
Guingamp,2,Paris Saint-Germain,1, Saturday 17th December 2016.
Lorient,2,St Etienne,1, Saturday 17th December 2016.
Montpellier,4,Bordeaux,0, Saturday 17th December 2016.
Rennes,1,Bastia,2, Saturday 17th December 2016.
Toulouse,1,Nancy,1, Saturday 17th December 2016.
Angers,0,Nantes,2, Friday 16th December 2016.
Lyon,1,Rennes,0, Sunday 11th December 2016.
St Etienne,1,Guingamp,0, Sunday 11th December 2016.
Paris Saint-Germain,2,Nice,2, Sunday 11th December 2016.
Dijon,1,Marseille,2, Saturday 10th December 2016.
Bordeaux,0,Monaco,4, Saturday 10th December 2016.
Bastia,2,Metz,0, Saturday 10th December 2016.
Lille,2,Montpellier,1, Saturday 10th December 2016.
Nancy,2,Angers,0, Saturday 10th December 2016.
