Home Team,Home Score,Away Team,Away Score,Match Date
Bradford City,0,Millwall,1,https://www.skysports.com/football/bradford-city-vs-millwall/371764
Fleetwood Town,0,Bradford City,0, Sunday 7th May 2017.
Scunthorpe United,2,Millwall,3, Sunday 7th May 2017.
Bradford City,1,Fleetwood Town,0, Thursday 4th May 2017.
Millwall,0,Scunthorpe United,0, Thursday 4th May 2017.
AFC Wimbledon,0,Oldham Athletic,0, Sunday 30th April 2017.
Bolton Wanderers,3,Peterborough United,0, Sunday 30th April 2017.
Bristol Rovers,3,Millwall,4, Sunday 30th April 2017.
Charlton Athletic,3,Swindon Town,0, Sunday 30th April 2017.
Fleetwood Town,0,Port Vale,0, Sunday 30th April 2017.
Northampton Town,0,Gillingham,0, Sunday 30th April 2017.
Oxford United,2,Shrewsbury Town,0, Sunday 30th April 2017.
Rochdale,1,Bradford City,1, Sunday 30th April 2017.
Scunthorpe United,3,Coventry City,1, Sunday 30th April 2017.
Sheffield United,3,Chesterfield,2, Sunday 30th April 2017.
Southend United,1,Bury,0, Sunday 30th April 2017.
Walsall,1,Milton Keynes Dons,4, Sunday 30th April 2017.
Walsall,0,Port Vale,1, Tuesday 25th April 2017.
Bradford City,3,AFC Wimbledon,0, Saturday 22nd April 2017.
Bury,3,Northampton Town,0, Saturday 22nd April 2017.
Chesterfield,1,Charlton Athletic,2, Saturday 22nd April 2017.
Coventry City,1,Walsall,0, Saturday 22nd April 2017.
Gillingham,2,Fleetwood Town,3, Saturday 22nd April 2017.
Millwall,0,Oxford United,3, Saturday 22nd April 2017.
Milton Keynes Dons,0,Sheffield United,3, Saturday 22nd April 2017.
Oldham Athletic,1,Rochdale,1, Saturday 22nd April 2017.
Peterborough United,4,Bristol Rovers,2, Saturday 22nd April 2017.
Port Vale,0,Bolton Wanderers,2, Saturday 22nd April 2017.
Shrewsbury Town,1,Southend United,0, Saturday 22nd April 2017.
Swindon Town,1,Scunthorpe United,2, Saturday 22nd April 2017.
Bolton Wanderers,0,Bury,0, Tuesday 18th April 2017.
Sheffield United,3,Bradford City,0, Monday 17th April 2017.
AFC Wimbledon,0,Peterborough United,0, Monday 17th April 2017.
Bristol Rovers,1,Oldham Athletic,0, Monday 17th April 2017.
Charlton Athletic,3,Gillingham,0, Monday 17th April 2017.
Fleetwood Town,1,Millwall,0, Monday 17th April 2017.
Northampton Town,1,Shrewsbury Town,1, Monday 17th April 2017.
Oxford United,2,Port Vale,0, Monday 17th April 2017.
Rochdale,2,Coventry City,0, Monday 17th April 2017.
Scunthorpe United,3,Chesterfield,1, Monday 17th April 2017.
Southend United,1,Milton Keynes Dons,2, Monday 17th April 2017.
Walsall,1,Swindon Town,0, Monday 17th April 2017.
Oldham Athletic,1,Bolton Wanderers,0, Saturday 15th April 2017.
Bradford City,1,Oxford United,0, Friday 14th April 2017.
Chesterfield,0,Southend United,4, Friday 14th April 2017.
Coventry City,1,Charlton Athletic,1, Friday 14th April 2017.
Gillingham,3,Bristol Rovers,1, Friday 14th April 2017.
Millwall,3,Northampton Town,0, Friday 14th April 2017.
Milton Keynes Dons,0,Scunthorpe United,1, Friday 14th April 2017.
Peterborough United,1,Fleetwood Town,2, Friday 14th April 2017.
Port Vale,0,Sheffield United,3, Friday 14th April 2017.
Shrewsbury Town,1,Walsall,1, Friday 14th April 2017.
Swindon Town,0,AFC Wimbledon,0, Friday 14th April 2017.
Bury,0,Rochdale,1, Thursday 13th April 2017.
AFC Wimbledon,0,Bristol Rovers,1, Saturday 8th April 2017.
Bury,0,Bradford City,2, Saturday 8th April 2017.
Charlton Athletic,2,Southend United,1, Saturday 8th April 2017.
Chesterfield,1,Port Vale,0, Saturday 8th April 2017.
Coventry City,1,Peterborough United,0, Saturday 8th April 2017.
Gillingham,1,Millwall,1, Saturday 8th April 2017.
Northampton Town,1,Sheffield United,2, Saturday 8th April 2017.
Oldham Athletic,2,Fleetwood Town,0, Saturday 8th April 2017.
Scunthorpe United,1,Bolton Wanderers,0, Saturday 8th April 2017.
Shrewsbury Town,1,Rochdale,0, Saturday 8th April 2017.
Swindon Town,1,Milton Keynes Dons,1, Saturday 8th April 2017.
Walsall,1,Oxford United,1, Saturday 8th April 2017.
Oxford United,1,Fleetwood Town,3, Wednesday 5th April 2017.
Sheffield United,2,Coventry City,0, Wednesday 5th April 2017.
Charlton Athletic,0,Milton Keynes Dons,2, Tuesday 4th April 2017.
Rochdale,3,Port Vale,0, Tuesday 4th April 2017.
Shrewsbury Town,1,Millwall,2, Tuesday 4th April 2017.
Southend United,0,Bolton Wanderers,1, Tuesday 4th April 2017.
Bolton Wanderers,0,Chesterfield,0, Saturday 1st April 2017.
Bradford City,1,Walsall,0, Saturday 1st April 2017.
Bristol Rovers,2,Shrewsbury Town,0, Saturday 1st April 2017.
Fleetwood Town,0,Swindon Town,1, Saturday 1st April 2017.
Millwall,3,Scunthorpe United,1, Saturday 1st April 2017.
Milton Keynes Dons,3,Gillingham,2, Saturday 1st April 2017.
Peterborough United,2,Charlton Athletic,0, Saturday 1st April 2017.
Port Vale,2,AFC Wimbledon,0, Saturday 1st April 2017.
Rochdale,1,Northampton Town,1, Saturday 1st April 2017.
Southend United,3,Oldham Athletic,0, Saturday 1st April 2017.
AFC Wimbledon,3,Rochdale,1, Tuesday 28th March 2017.
Oxford United,5,Bury,1, Tuesday 28th March 2017.
Sheffield United,2,Millwall,0, Tuesday 28th March 2017.
Scunthorpe United,3,Bradford City,2, Sunday 26th March 2017.
Swindon Town,1,Millwall,0, Saturday 25th March 2017.
AFC Wimbledon,0,Southend United,2, Saturday 25th March 2017.
Bury,0,Fleetwood Town,0, Saturday 25th March 2017.
Chesterfield,1,Rochdale,3, Saturday 25th March 2017.
Coventry City,1,Bristol Rovers,0, Saturday 25th March 2017.
Gillingham,0,Peterborough United,1, Saturday 25th March 2017.
Northampton Town,0,Oxford United,0, Saturday 25th March 2017.
Oldham Athletic,1,Sheffield United,1, Saturday 25th March 2017.
Port Vale,0,Milton Keynes Dons,0, Saturday 25th March 2017.
Shrewsbury Town,0,Bolton Wanderers,2, Saturday 25th March 2017.
Coventry City,2,Port Vale,1, Tuesday 21st March 2017.
Oxford United,2,Bolton Wanderers,4, Tuesday 21st March 2017.
Rochdale,3,Millwall,3, Tuesday 21st March 2017.
Bolton Wanderers,2,Northampton Town,1, Saturday 18th March 2017.
Bradford City,2,Swindon Town,1, Saturday 18th March 2017.
Bristol Rovers,2,Chesterfield,1, Saturday 18th March 2017.
Fleetwood Town,0,AFC Wimbledon,0, Saturday 18th March 2017.
Millwall,0,Bury,0, Saturday 18th March 2017.
Milton Keynes Dons,1,Coventry City,0, Saturday 18th March 2017.
Oxford United,2,Scunthorpe United,1, Saturday 18th March 2017.
Peterborough United,1,Oldham Athletic,1, Saturday 18th March 2017.
Rochdale,4,Gillingham,1, Saturday 18th March 2017.
Sheffield United,2,Charlton Athletic,1, Saturday 18th March 2017.
Southend United,3,Walsall,2, Saturday 18th March 2017.
Port Vale,2,Shrewsbury Town,1, Friday 17th March 2017.
AFC Wimbledon,2,Milton Keynes Dons,0, Tuesday 14th March 2017.
Bury,3,Bristol Rovers,0, Tuesday 14th March 2017.
Charlton Athletic,1,Bradford City,1, Tuesday 14th March 2017.
Chesterfield,3,Peterborough United,3, Tuesday 14th March 2017.
Coventry City,0,Southend United,2, Tuesday 14th March 2017.
Gillingham,0,Bolton Wanderers,4, Tuesday 14th March 2017.
Northampton Town,2,Port Vale,1, Tuesday 14th March 2017.
Oldham Athletic,2,Oxford United,1, Tuesday 14th March 2017.
Scunthorpe United,2,Rochdale,1, Tuesday 14th March 2017.
Swindon Town,2,Sheffield United,4, Tuesday 14th March 2017.
Walsall,0,Fleetwood Town,1, Tuesday 14th March 2017.
AFC Wimbledon,0,Northampton Town,1, Saturday 11th March 2017.
Bristol Rovers,2,Southend United,0, Saturday 11th March 2017.
Charlton Athletic,1,Walsall,1, Saturday 11th March 2017.
Chesterfield,1,Shrewsbury Town,1, Saturday 11th March 2017.
Coventry City,0,Bradford City,2, Saturday 11th March 2017.
Fleetwood Town,2,Bolton Wanderers,4, Saturday 11th March 2017.
Gillingham,3,Scunthorpe United,2, Saturday 11th March 2017.
Milton Keynes Dons,2,Rochdale,2, Saturday 11th March 2017.
Oldham Athletic,0,Bury,0, Saturday 11th March 2017.
Peterborough United,1,Oxford United,2, Saturday 11th March 2017.
Port Vale,3,Swindon Town,2, Saturday 11th March 2017.
Charlton Athletic,2,Scunthorpe United,1, Tuesday 7th March 2017.
Oxford United,2,Sheffield United,3, Tuesday 7th March 2017.
Walsall,1,Chesterfield,0, Tuesday 7th March 2017.
Bolton Wanderers,1,AFC Wimbledon,1, Saturday 4th March 2017.
Bradford City,1,Peterborough United,0, Saturday 4th March 2017.
Bury,1,Gillingham,2, Saturday 4th March 2017.
Millwall,2,Milton Keynes Dons,1, Saturday 4th March 2017.
Northampton Town,2,Charlton Athletic,1, Saturday 4th March 2017.
Oxford United,0,Bristol Rovers,2, Saturday 4th March 2017.
Rochdale,3,Sheffield United,3, Saturday 4th March 2017.
Scunthorpe United,0,Fleetwood Town,2, Saturday 4th March 2017.
Shrewsbury Town,0,Coventry City,0, Saturday 4th March 2017.
Southend United,1,Port Vale,1, Saturday 4th March 2017.
Swindon Town,0,Chesterfield,1, Saturday 4th March 2017.
Walsall,2,Oldham Athletic,0, Saturday 4th March 2017.
Bradford City,2,Milton Keynes Dons,2, Tuesday 28th February 2017.
Bury,2,Coventry City,1, Tuesday 28th February 2017.
Millwall,1,Peterborough United,0, Tuesday 28th February 2017.
Northampton Town,1,Oldham Athletic,2, Tuesday 28th February 2017.
Scunthorpe United,1,AFC Wimbledon,2, Tuesday 28th February 2017.
Shrewsbury Town,4,Charlton Athletic,3, Tuesday 28th February 2017.
Swindon Town,3,Gillingham,1, Tuesday 28th February 2017.
Bolton Wanderers,1,Bristol Rovers,1, Tuesday 28th February 2017.
AFC Wimbledon,1,Walsall,0, Saturday 25th February 2017.
Bristol Rovers,1,Scunthorpe United,1, Saturday 25th February 2017.
Charlton Athletic,0,Bury,1, Saturday 25th February 2017.
Chesterfield,0,Oxford United,4, Saturday 25th February 2017.
Coventry City,1,Swindon Town,3, Saturday 25th February 2017.
Fleetwood Town,3,Northampton Town,0, Saturday 25th February 2017.
Gillingham,2,Southend United,1, Saturday 25th February 2017.
Milton Keynes Dons,2,Shrewsbury Town,1, Saturday 25th February 2017.
Oldham Athletic,0,Millwall,0, Saturday 25th February 2017.
Peterborough United,3,Rochdale,1, Saturday 25th February 2017.
Port Vale,1,Bradford City,2, Saturday 25th February 2017.
Sheffield United,2,Bolton Wanderers,0, Saturday 25th February 2017.
Charlton Athletic,0,Oxford United,1, Tuesday 21st February 2017.
Gillingham,2,AFC Wimbledon,2, Tuesday 21st February 2017.
Millwall,0,Chesterfield,0, Tuesday 21st February 2017.
Peterborough United,1,Southend United,4, Tuesday 21st February 2017.
Bradford City,2,Bolton Wanderers,2, Saturday 18th February 2017.
Chesterfield,1,Bury,2, Saturday 18th February 2017.
Coventry City,2,Gillingham,1, Saturday 18th February 2017.
Milton Keynes Dons,0,Fleetwood Town,1, Saturday 18th February 2017.
Port Vale,1,Bristol Rovers,1, Saturday 18th February 2017.
Rochdale,3,Charlton Athletic,3, Saturday 18th February 2017.
Sheffield United,1,Scunthorpe United,1, Saturday 18th February 2017.
Shrewsbury Town,2,AFC Wimbledon,1, Saturday 18th February 2017.
Southend United,2,Northampton Town,2, Saturday 18th February 2017.
Swindon Town,0,Oldham Athletic,0, Saturday 18th February 2017.
Walsall,2,Peterborough United,0, Saturday 18th February 2017.
AFC Wimbledon,1,Coventry City,1, Tuesday 14th February 2017.
Bristol Rovers,0,Sheffield United,0, Tuesday 14th February 2017.
Bury,0,Milton Keynes Dons,0, Tuesday 14th February 2017.
Fleetwood Town,2,Bradford City,1, Tuesday 14th February 2017.
Gillingham,1,Chesterfield,1, Tuesday 14th February 2017.
Millwall,2,Port Vale,0, Tuesday 14th February 2017.
Northampton Town,2,Swindon Town,1, Tuesday 14th February 2017.
Oldham Athletic,1,Charlton Athletic,0, Tuesday 14th February 2017.
Oxford United,0,Southend United,2, Tuesday 14th February 2017.
Peterborough United,2,Shrewsbury Town,1, Tuesday 14th February 2017.
Scunthorpe United,0,Walsall,0, Tuesday 14th February 2017.
Bolton Wanderers,1,Rochdale,0, Tuesday 14th February 2017.
AFC Wimbledon,1,Charlton Athletic,1, Saturday 11th February 2017.
Bolton Wanderers,4,Walsall,1, Saturday 11th February 2017.
Bristol Rovers,1,Bradford City,1, Saturday 11th February 2017.
Bury,1,Swindon Town,0, Saturday 11th February 2017.
Fleetwood Town,0,Rochdale,0, Saturday 11th February 2017.
Gillingham,1,Port Vale,1, Saturday 11th February 2017.
Millwall,1,Southend United,0, Saturday 11th February 2017.
Northampton Town,3,Chesterfield,1, Saturday 11th February 2017.
Oldham Athletic,3,Coventry City,2, Saturday 11th February 2017.
Oxford United,1,Milton Keynes Dons,0, Saturday 11th February 2017.
Peterborough United,0,Sheffield United,1, Saturday 11th February 2017.
