Home Team,Home Score,Away Team,Away Score,Match Date
Bayern Munich,5,Eintracht Frankfurt,1, Saturday 18th May 2019.
Fortuna Dusseldorf,2,Hannover 96,1, Saturday 18th May 2019.
Hertha Berlin,1,Bayer Leverkusen,5, Saturday 18th May 2019.
M'gladbach,0,Borussia Dortmund,2, Saturday 18th May 2019.
Mainz,4,Hoffenheim,2, Saturday 18th May 2019.
SC Freiburg,5,FC Nurnberg,1, Saturday 18th May 2019.
Schalke,0,Stuttgart,0, Saturday 18th May 2019.
Werder Bremen,2,RB Leipzig,1, Saturday 18th May 2019.
Wolfsburg,8,FC Augsburg,1, Saturday 18th May 2019.
Eintracht Frankfurt,0,Mainz,2, Sunday 12th May 2019.
Bayer Leverkusen,1,Schalke,1, Saturday 11th May 2019.
Borussia Dortmund,3,Fortuna Dusseldorf,2, Saturday 11th May 2019.
FC Augsburg,3,Hertha Berlin,4, Saturday 11th May 2019.
FC Nurnberg,0,M'gladbach,4, Saturday 11th May 2019.
Hannover 96,3,SC Freiburg,0, Saturday 11th May 2019.
Hoffenheim,0,Werder Bremen,1, Saturday 11th May 2019.
RB Leipzig,0,Bayern Munich,0, Saturday 11th May 2019.
Stuttgart,3,Wolfsburg,0, Saturday 11th May 2019.
Schalke,0,FC Augsburg,0, Sunday 5th May 2019.
SC Freiburg,1,Fortuna Dusseldorf,1, Sunday 5th May 2019.
Bayer Leverkusen,6,Eintracht Frankfurt,1, Sunday 5th May 2019.
Bayern Munich,3,Hannover 96,1, Saturday 4th May 2019.
Hertha Berlin,3,Stuttgart,1, Saturday 4th May 2019.
M'gladbach,2,Hoffenheim,2, Saturday 4th May 2019.
Wolfsburg,2,FC Nurnberg,0, Saturday 4th May 2019.
Werder Bremen,2,Borussia Dortmund,2, Saturday 4th May 2019.
Mainz,3,RB Leipzig,3, Friday 3rd May 2019.
Hoffenheim,1,Wolfsburg,4, Sunday 28th April 2019.
FC Nurnberg,1,Bayern Munich,1, Sunday 28th April 2019.
Borussia Dortmund,2,Schalke,4, Saturday 27th April 2019.
Eintracht Frankfurt,0,Hertha Berlin,0, Saturday 27th April 2019.
Fortuna Dusseldorf,4,Werder Bremen,1, Saturday 27th April 2019.
Hannover 96,1,Mainz,0, Saturday 27th April 2019.
RB Leipzig,2,SC Freiburg,1, Saturday 27th April 2019.
Stuttgart,1,M'gladbach,0, Saturday 27th April 2019.
FC Augsburg,1,Bayer Leverkusen,4, Friday 26th April 2019.
Wolfsburg,1,Eintracht Frankfurt,1, Monday 22nd April 2019.
SC Freiburg,0,Borussia Dortmund,4, Sunday 21st April 2019.
Hertha Berlin,0,Hannover 96,0, Sunday 21st April 2019.
Bayer Leverkusen,2,FC Nurnberg,0, Saturday 20th April 2019.
Bayern Munich,1,Werder Bremen,0, Saturday 20th April 2019.
FC Augsburg,6,Stuttgart,0, Saturday 20th April 2019.
Mainz,3,Fortuna Dusseldorf,1, Saturday 20th April 2019.
M'gladbach,1,RB Leipzig,2, Saturday 20th April 2019.
Schalke,2,Hoffenheim,5, Saturday 20th April 2019.
Hoffenheim,2,Hertha Berlin,0, Sunday 14th April 2019.
Fortuna Dusseldorf,1,Bayern Munich,4, Sunday 14th April 2019.
Eintracht Frankfurt,1,FC Augsburg,3, Sunday 14th April 2019.
Hannover 96,0,M'gladbach,1, Saturday 13th April 2019.
RB Leipzig,2,Wolfsburg,0, Saturday 13th April 2019.
Stuttgart,0,Bayer Leverkusen,1, Saturday 13th April 2019.
Werder Bremen,2,SC Freiburg,1, Saturday 13th April 2019.
Borussia Dortmund,2,Mainz,1, Saturday 13th April 2019.
FC Nurnberg,1,Schalke,1, Friday 12th April 2019.
FC Augsburg,0,Hoffenheim,4, Sunday 7th April 2019.
M'gladbach,1,Werder Bremen,1, Sunday 7th April 2019.
Bayer Leverkusen,2,RB Leipzig,4, Saturday 6th April 2019.
Hertha Berlin,1,Fortuna Dusseldorf,2, Saturday 6th April 2019.
Schalke,1,Eintracht Frankfurt,2, Saturday 6th April 2019.
Stuttgart,1,FC Nurnberg,1, Saturday 6th April 2019.
Wolfsburg,3,Hannover 96,1, Saturday 6th April 2019.
Bayern Munich,5,Borussia Dortmund,0, Saturday 6th April 2019.
Mainz,5,SC Freiburg,0, Friday 5th April 2019.
Hannover 96,0,Schalke,1, Sunday 31st March 2019.
Eintracht Frankfurt,3,Stuttgart,0, Sunday 31st March 2019.
Borussia Dortmund,2,Wolfsburg,0, Saturday 30th March 2019.
FC Nurnberg,3,FC Augsburg,0, Saturday 30th March 2019.
Fortuna Dusseldorf,3,M'gladbach,1, Saturday 30th March 2019.
SC Freiburg,1,Bayern Munich,1, Saturday 30th March 2019.
Werder Bremen,3,Mainz,1, Saturday 30th March 2019.
RB Leipzig,5,Hertha Berlin,0, Saturday 30th March 2019.
