Home Team,Home Score,Away Team,Away Score,Match Date
Chelsea,2,Everton,1, Sunday 19th May 2013.
Liverpool,1,Queens Park Rangers,0, Sunday 19th May 2013.
Manchester City,2,Norwich City,3, Sunday 19th May 2013.
Newcastle United,0,Arsenal,1, Sunday 19th May 2013.
Southampton,1,Stoke City,1, Sunday 19th May 2013.
Swansea City,0,Fulham,3, Sunday 19th May 2013.
Tottenham Hotspur,1,Sunderland,0, Sunday 19th May 2013.
West Bromwich Albion,5,Manchester United,5, Sunday 19th May 2013.
West Ham United,4,Reading,2, Sunday 19th May 2013.
Wigan Athletic,2,Aston Villa,2, Sunday 19th May 2013.
Arsenal,4,Wigan Athletic,1, Tuesday 14th May 2013.
Reading,0,Manchester City,2, Tuesday 14th May 2013.
Stoke City,1,Tottenham Hotspur,2, Sunday 12th May 2013.
Everton,2,West Ham United,0, Sunday 12th May 2013.
Fulham,1,Liverpool,3, Sunday 12th May 2013.
Norwich City,4,West Bromwich Albion,0, Sunday 12th May 2013.
Queens Park Rangers,1,Newcastle United,2, Sunday 12th May 2013.
Sunderland,1,Southampton,1, Sunday 12th May 2013.
Manchester United,2,Swansea City,1, Sunday 12th May 2013.
Aston Villa,1,Chelsea,2, Saturday 11th May 2013.
Chelsea,2,Tottenham Hotspur,2, Wednesday 8th May 2013.
Manchester City,1,West Bromwich Albion,0, Tuesday 7th May 2013.
Wigan Athletic,2,Swansea City,3, Tuesday 7th May 2013.
Sunderland,1,Stoke City,1, Monday 6th May 2013.
Liverpool,0,Everton,0, Sunday 5th May 2013.
Manchester United,0,Chelsea,1, Sunday 5th May 2013.
Fulham,2,Reading,4, Saturday 4th May 2013.
Norwich City,1,Aston Villa,2, Saturday 4th May 2013.
Swansea City,0,Manchester City,0, Saturday 4th May 2013.
Tottenham Hotspur,1,Southampton,0, Saturday 4th May 2013.
West Bromwich Albion,2,Wigan Athletic,3, Saturday 4th May 2013.
West Ham United,0,Newcastle United,0, Saturday 4th May 2013.
Queens Park Rangers,0,Arsenal,1, Saturday 4th May 2013.
Aston Villa,6,Sunderland,1, Monday 29th April 2013.
Reading,0,Queens Park Rangers,0, Sunday 28th April 2013.
Chelsea,2,Swansea City,0, Sunday 28th April 2013.
Arsenal,1,Manchester United,1, Sunday 28th April 2013.
Manchester City,2,West Ham United,1, Saturday 27th April 2013.
Everton,1,Fulham,0, Saturday 27th April 2013.
Southampton,0,West Bromwich Albion,3, Saturday 27th April 2013.
Stoke City,1,Norwich City,0, Saturday 27th April 2013.
Wigan Athletic,2,Tottenham Hotspur,2, Saturday 27th April 2013.
Newcastle United,0,Liverpool,6, Saturday 27th April 2013.
Manchester United,3,Aston Villa,0, Monday 22nd April 2013.
Tottenham Hotspur,3,Manchester City,1, Sunday 21st April 2013.
